"POLÍCIA RODOVIÁRIA FEDERAL
LOCAIS COM FISCALIZAÇÃO DE
VELOCIDADE POR RADAR PORTÁTIL
(Resolução 798/20 do CONTRAN)",,,
,,,
,,,
ESTADO (UF),RODOVIA (BR),KM INICIAL,KM FINAL
MG,040,"150,0","160,0"
MG,040,"260,0","270,0"
MG,040,"260,0","270,0"
MG,040,"270,0","280,0"
MG,040,"270,0","280,0"
MG,040,"280,0","290,0"
MG,040,"280,0","290,0"
MG,040,"290,0","300,0"
MG,040,"290,0","300,0"
MG,040,"300,0","310,0"
MG,040,"390,0","400,0"
MG,040,"390,0","400,0"
MG,040,"400,0","410,0"
MG,040,"410,0","420,0"
MG,040,"420,0","430,0"
MG,040,"420,0","430,0"
MG,040,"430,0","440,0"
MG,040,"430,0","440,0"
MG,040,"440,0","450,0"
MG,040,"440,0","450,0"
MG,040,"450,0","460,0"
MG,040,"460,0","470,0"
MG,040,"460,0","470,0"
MG,040,"470,0","480,0"
MG,040,"470,0","480,0"
MG,040,"480,0","490,0"
MG,040,"480,0","490,0"
MG,040,"500,0","510,0"
MG,040,"510,0","520,0"
MG,040,"520,0","530,0"
MG,040,"530,0","540,0"
MG,040,"540,0","550,0"
MG,040,"550,0","560,0"
MG,040,"560,0","570,0"
MG,040,"570,0","580,0"
MG,040,"580,0","590,0"
MG,040,"590,0","600,0"
MG,040,"590,0","600,0"
MG,040,"600,0","610,0"
MG,040,"600,0","610,0"
MG,040,"610,0","620,0"
MG,040,"610,0","620,0"
MG,040,"620,0","630,0"
MG,040,"620,0","630,0"
MG,040,"630,0","640,0"
MG,040,"630,0","640,0"
MG,040,"640,0","650,0"
MG,040,"640,0","650,0"
MG,040,"650,0","660,0"
MG,040,"650,0","660,0"
MG,040,"660,0","670,0"
MG,040,"660,0","670,0"
MG,040,"670,0","680,0"
MG,040,"670,0","680,0"
MG,040,"680,0","690,0"
MG,040,"690,0","700,0"
MG,040,"690,0","700,0"
MG,040,"700,0","710,0"
MG,040,"700,0","710,0"
MG,040,"710,0","720,0"
MG,040,"720,0","730,0"
MG,040,"730,0","740,0"
MG,040,"730,0","740,0"
MG,050,"10,0","20,0"
MG,050,"20,0","30,0"
MG,050,"30,0","40,0"
MG,050,"30,0","40,0"
MG,050,"40,0","50,0"
MG,050,"40,0","50,0"
MG,050,"50,0","60,0"
MG,050,"60,0","70,0"
MG,050,"70,0","80,0"
MG,050,"80,0","90,0"
MG,050,"90,0","100,0"
MG,050,"90,0","100,0"
MG,050,"100,0","110,0"
MG,050,"110,0","120,0"
MG,050,"120,0","130,0"
MG,050,"120,0","130,0"
MG,050,"130,0","131,0"
MG,050,"130,0","140,0"
MG,050,"130,0","140,0"
MG,050,"140,0","150,0"
MG,050,"140,0","150,0"
MG,050,"150,0","160,0"
MG,050,"160,0","170,0"
MG,050,"160,0","170,0"
MG,050,"170,0","180,0"
MG,050,"190,0","200,0"
MG,050,"190,0","200,0"
MG,116,"110,0","120,0"
MG,116,"120,0","130,0"
MG,116,"130,0","140,0"
MG,116,"230,0","240,0"
MG,116,"240,0","250,0"
MG,116,"250,0","260,0"
MG,116,"260,0","270,0"
MG,116,"270,0","280,0"
MG,116,"280,0","290,0"
MG,116,"290,0","300,0"
MG,116,"310,0","320,0"
MG,116,"320,0","330,0"
MG,116,"330,0","340,0"
MG,116,"340,0","350,0"
MG,116,"350,0","360,0"
MG,116,"360,0","370,0"
MG,116,"370,0","380,0"
MG,116,"380,0","390,0"
MG,116,"390,0","400,0"
MG,116,"400,0","410,0"
MG,116,"410,0","420,0"
MG,116,"420,0","430,0"
MG,116,"430,0","440,0"
MG,116,"450,0","460,0"
MG,116,"460,0","470,0"
MG,116,"470,0","480,0"
MG,116,"490,0","500,0"
MG,116,"500,0","510,0"
MG,116,"510,0","520,0"
MG,116,"520,0","530,0"
MG,116,"530,0","540,0"
MG,116,"540,0","550,0"
MG,116,"550,0","560,0"
MG,116,"560,0","570,0"
MG,116,"570,0","580,0"
MG,116,"580,0","590,0"
MG,116,"610,0","620,0"
MG,116,"620,0","630,0"
MG,116,"640,0","650,0"
MG,116,"650,0","660,0"
MG,116,"660,0","670,0"
MG,116,"690,0","700,0"
MG,116,"700,0","710,0"
MG,116,"710,0","720,0"
MG,116,"730,0","740,0"
MG,116,"750,0","760,0"
MG,116,"790,0","800,0"
MG,146,"181,1","190,0"
MG,146,"428,0","430,0"
MG,146,"430,0","440,0"
MG,146,"440,0","450,0"
MG,146,"450,0","460,0"
MG,146,"460,0","470,0"
MG,146,"470,0","480,0"
MG,146,"480,0","485,0"
MG,153,"20,0","30,0"
MG,153,"30,0","40,0"
MG,153,"40,0","50,0"
MG,153,"70,0","80,0"
MG,153,"80,0","90,0"
MG,153,"90,0","100,0"
MG,153,"180,0","190,0"
MG,153,"180,0","190,0"
MG,153,"210,0","220,0"
MG,153,"220,0","230,0"
MG,153,"230,0","240,0"
MG,251,"200,0","210,0"
MG,251,"298,0","308,0"
MG,251,"340,0","350,0"
MG,251,"350,0","360,0"
MG,251,"430,0","440,0"
MG,251,"430,0","440,0"
MG,251,"440,0","450,0"
MG,251,"450,0","460,0"
MG,251,"460,0","470,0"
MG,251,"470,0","480,0"
MG,251,"480,0","490,0"
MG,251,"500,0","510,0"
MG,251,"510,0","520,0"
MG,251,"520,0","530,0"
MG,251,"530,0","540,0"
MG,262,"20,0","30,0"
MG,262,"30,0","40,0"
MG,262,"40,0","50,0"
MG,262,"50,0","60,0"
MG,262,"60,0","70,0"
MG,262,"70,0","80,0"
MG,262,"80,0","90,0"
MG,262,"90,0","100,0"
MG,262,"100,0","110,0"
MG,262,"130,0","140,0"
MG,262,"140,0","150,0"
MG,262,"150,0","160,0"
MG,262,"350,0","360,0"
MG,262,"360,0","370,0"
MG,262,"370,0","380,0"
MG,262,"380,0","390,0"
MG,262,"390,0","400,0"
MG,262,"400,0","410,0"
